Song Name,Artist,Genre,Mood,Tempo (BPM),Danceability,User Ratings
Song 1,Artist 2,Pop,Happy,61,0.2,2
Song 2,Artist 3,Rock,Sad,62,0.3,3
Song 3,Artist 4,Jazz,Energetic,63,0.4,4
Song 4,Artist 5,Hip-Hop,Relaxing,64,0.5,5
Song 5,Artist 6,Classical,Romantic,65,0.6,1
Song 6,Artist 7,Pop,Happy,66,0.7,2
Song 7,Artist 8,Rock,Sad,67,0.8,3
Song 8,Artist 9,Jazz,Energetic,68,0.9,4
Song 9,Artist 10,Hip-Hop,Relaxing,69,1.0,5
Song 10,Artist 11,Classical,Romantic,70,0.1,1
Song 11,Artist 12,Pop,Happy,71,0.2,2
Song 12,Artist 13,Rock,Sad,72,0.3,3
Song 13,Artist 14,Jazz,Energetic,73,0.4,4
Song 14,Artist 15,Hip-Hop,Relaxing,74,0.5,5
Song 15,Artist 16,Classical,Romantic,75,0.6,1
Song 16,Artist 17,Pop,Happy,76,0.7,2
Song 17,Artist 18,Rock,Sad,77,0.8,3
Song 18,Artist 19,Jazz,Energetic,78,0.9,4
Song 19,Artist 20,Hip-Hop,Relaxing,79,1.0,5
Song 20,Artist 21,Classical,Romantic,80,0.1,1
Song 21,Artist 22,Pop,Happy,81,0.2,2
Song 22,Artist 23,Rock,Sad,82,0.3,3
Song 23,Artist 24,Jazz,Energetic,83,0.4,4
Song 24,Artist 25,Hip-Hop,Relaxing,84,0.5,5
Song 25,Artist 26,Classical,Romantic,85,0.6,1
Song 26,Artist 27,Pop,Happy,86,0.7,2
Song 27,Artist 28,Rock,Sad,87,0.8,3
Song 28,Artist 29,Jazz,Energetic,88,0.9,4
Song 29,Artist 30,Hip-Hop,Relaxing,89,1.0,5
Song 30,Artist 31,Classical,Romantic,90,0.1,1
Song 31,Artist 32,Pop,Happy,91,0.2,2
Song 32,Artist 33,Rock,Sad,92,0.3,3
Song 33,Artist 34,Jazz,Energetic,93,0.4,4
Song 34,Artist 35,Hip-Hop,Relaxing,94,0.5,5
Song 35,Artist 36,Classical,Romantic,95,0.6,1
Song 36,Artist 37,Pop,Happy,96,0.7,2
Song 37,Artist 38,Rock,Sad,97,0.8,3
Song 38,Artist 39,Jazz,Energetic,98,0.9,4
Song 39,Artist 40,Hip-Hop,Relaxing,99,1.0,5
Song 40,Artist 41,Classical,Romantic,100,0.1,1
Song 41,Artist 42,Pop,Happy,101,0.2,2
Song 42,Artist 43,Rock,Sad,102,0.3,3
Song 43,Artist 44,Jazz,Energetic,103,0.4,4
Song 44,Artist 45,Hip-Hop,Relaxing,104,0.5,5
Song 45,Artist 46,Classical,Romantic,105,0.6,1
Song 46,Artist 47,Pop,Happy,106,0.7,2
Song 47,Artist 48,Rock,Sad,107,0.8,3
Song 48,Artist 49,Jazz,Energetic,108,0.9,4
Song 49,Artist 50,Hip-Hop,Relaxing,109,1.0,5
Song 50,Artist 1,Classical,Romantic,110,0.1,1
Song 51,Artist 2,Pop,Happy,111,0.2,2
Song 52,Artist 3,Rock,Sad,112,0.3,3
Song 53,Artist 4,Jazz,Energetic,113,0.4,4
Song 54,Artist 5,Hip-Hop,Relaxing,114,0.5,5
Song 55,Artist 6,Classical,Romantic,115,0.6,1
Song 56,Artist 7,Pop,Happy,116,0.7,2
Song 57,Artist 8,Rock,Sad,117,0.8,3
Song 58,Artist 9,Jazz,Energetic,118,0.9,4
Song 59,Artist 10,Hip-Hop,Relaxing,119,1.0,5
Song 60,Artist 11,Classical,Romantic,120,0.1,1
Song 61,Artist 12,Pop,Happy,121,0.2,2
Song 62,Artist 13,Rock,Sad,122,0.3,3
Song 63,Artist 14,Jazz,Energetic,123,0.4,4
Song 64,Artist 15,Hip-Hop,Relaxing,124,0.5,5
Song 65,Artist 16,Classical,Romantic,125,0.6,1
Song 66,Artist 17,Pop,Happy,126,0.7,2
Song 67,Artist 18,Rock,Sad,127,0.8,3
Song 68,Artist 19,Jazz,Energetic,128,0.9,4
Song 69,Artist 20,Hip-Hop,Relaxing,129,1.0,5
Song 70,Artist 21,Classical,Romantic,130,0.1,1
Song 71,Artist 22,Pop,Happy,131,0.2,2
Song 72,Artist 23,Rock,Sad,132,0.3,3
Song 73,Artist 24,Jazz,Energetic,133,0.4,4
Song 74,Artist 25,Hip-Hop,Relaxing,134,0.5,5
Song 75,Artist 26,Classical,Romantic,135,0.6,1
Song 76,Artist 27,Pop,Happy,136,0.7,2
Song 77,Artist 28,Rock,Sad,137,0.8,3
Song 78,Artist 29,Jazz,Energetic,138,0.9,4
Song 79,Artist 30,Hip-Hop,Relaxing,139,1.0,5
Song 80,Artist 31,Classical,Romantic,140,0.1,1
Song 81,Artist 32,Pop,Happy,141,0.2,2
Song 82,Artist 33,Rock,Sad,142,0.3,3
Song 83,Artist 34,Jazz,Energetic,143,0.4,4
Song 84,Artist 35,Hip-Hop,Relaxing,144,0.5,5
Song 85,Artist 36,Classical,Romantic,145,0.6,1
Song 86,Artist 37,Pop,Happy,146,0.7,2
Song 87,Artist 38,Rock,Sad,147,0.8,3
Song 88,Artist 39,Jazz,Energetic,148,0.9,4
Song 89,Artist 40,Hip-Hop,Relaxing,149,1.0,5
Song 90,Artist 41,Classical,Romantic,150,0.1,1
Song 91,Artist 42,Pop,Happy,151,0.2,2
Song 92,Artist 43,Rock,Sad,152,0.3,3
Song 93,Artist 44,Jazz,Energetic,153,0.4,4
Song 94,Artist 45,Hip-Hop,Relaxing,154,0.5,5
Song 95,Artist 46,Classical,Romantic,155,0.6,1
Song 96,Artist 47,Pop,Happy,156,0.7,2
Song 97,Artist 48,Rock,Sad,157,0.8,3
Song 98,Artist 49,Jazz,Energetic,158,0.9,4
Song 99,Artist 50,Hip-Hop,Relaxing,159,1.0,5
Song 100,Artist 1,Classical,Romantic,160,0.1,1
Song 101,Artist 2,Pop,Happy,161,0.2,2
Song 102,Artist 3,Rock,Sad,162,0.3,3
Song 103,Artist 4,Jazz,Energetic,163,0.4,4
Song 104,Artist 5,Hip-Hop,Relaxing,164,0.5,5
Song 105,Artist 6,Classical,Romantic,165,0.6,1
Song 106,Artist 7,Pop,Happy,166,0.7,2
Song 107,Artist 8,Rock,Sad,167,0.8,3
Song 108,Artist 9,Jazz,Energetic,168,0.9,4
Song 109,Artist 10,Hip-Hop,Relaxing,169,1.0,5
Song 110,Artist 11,Classical,Romantic,170,0.1,1
Song 111,Artist 12,Pop,Happy,171,0.2,2
Song 112,Artist 13,Rock,Sad,172,0.3,3
Song 113,Artist 14,Jazz,Energetic,173,0.4,4
Song 114,Artist 15,Hip-Hop,Relaxing,174,0.5,5
Song 115,Artist 16,Classical,Romantic,175,0.6,1
Song 116,Artist 17,Pop,Happy,176,0.7,2
Song 117,Artist 18,Rock,Sad,177,0.8,3
Song 118,Artist 19,Jazz,Energetic,178,0.9,4
Song 119,Artist 20,Hip-Hop,Relaxing,179,1.0,5
Song 120,Artist 21,Classical,Romantic,180,0.1,1
Song 121,Artist 22,Pop,Happy,181,0.2,2
Song 122,Artist 23,Rock,Sad,182,0.3,3
Song 123,Artist 24,Jazz,Energetic,183,0.4,4
Song 124,Artist 25,Hip-Hop,Relaxing,184,0.5,5
Song 125,Artist 26,Classical,Romantic,185,0.6,1
Song 126,Artist 27,Pop,Happy,186,0.7,2
Song 127,Artist 28,Rock,Sad,187,0.8,3
Song 128,Artist 29,Jazz,Energetic,188,0.9,4
Song 129,Artist 30,Hip-Hop,Relaxing,189,1.0,5
Song 130,Artist 31,Classical,Romantic,190,0.1,1
Song 131,Artist 32,Pop,Happy,191,0.2,2
Song 132,Artist 33,Rock,Sad,192,0.3,3
Song 133,Artist 34,Jazz,Energetic,193,0.4,4
Song 134,Artist 35,Hip-Hop,Relaxing,194,0.5,5
Song 135,Artist 36,Classical,Romantic,195,0.6,1
Song 136,Artist 37,Pop,Happy,196,0.7,2
Song 137,Artist 38,Rock,Sad,197,0.8,3
Song 138,Artist 39,Jazz,Energetic,198,0.9,4
Song 139,Artist 40,Hip-Hop,Relaxing,199,1.0,5
Song 140,Artist 41,Classical,Romantic,200,0.1,1
Song 141,Artist 42,Pop,Happy,201,0.2,2
Song 142,Artist 43,Rock,Sad,202,0.3,3
Song 143,Artist 44,Jazz,Energetic,203,0.4,4
Song 144,Artist 45,Hip-Hop,Relaxing,204,0.5,5
Song 145,Artist 46,Classical,Romantic,205,0.6,1
Song 146,Artist 47,Pop,Happy,206,0.7,2
Song 147,Artist 48,Rock,Sad,207,0.8,3
